No.,Time,,Time 1,Time 2,Delay,Total Delay,Rata-Rata Delay,Delay 1,Delay 2,Jitter,Total Jitter,Rata - rata Jitter
31051,158.122728,,158.122728,158.126818,0.00409,,,-0.004861,0.008951,0.013812,,
31052,158.126818,,158.126818,158.135769,0.008951,,,0.008951,0,-0.008951,,
31053,158.135769,,158.135769,158.135769,0,,,0,0,0,,
31054,158.135769,,158.135769,158.135769,0,,,0,0,0,,
31055,158.135769,,158.135769,158.135769,0,,,0,0,0,,
31056,158.135769,,158.135769,158.135769,0,,,0,0,0,,
31057,158.135769,,158.135769,158.135769,0,,,0,0,0,,
31058,158.135769,,158.135769,158.135769,0,,,0,0,0,,
31059,158.135769,,158.135769,158.135769,0,,,0,0,0,,
31060,158.135769,,158.135769,158.135769,0,,,0,0,0,,
31061,158.135769,,158.135769,158.135769,0,,,0,0,0,,
31062,158.135769,,158.135769,158.135769,0,,,0,0,0,,
31063,158.135769,,158.135769,158.135769,0,,,0,0,0,,
31064,158.135769,,158.135769,158.135769,0,,,0,0,0,,
31065,158.135769,,158.135769,158.135769,0,,,0,0,0,,
31066,158.135769,,158.135769,158.135769,0,,,0,0,0,,
31067,158.135769,,158.135769,158.135769,0,,,0,0,0,,
31068,158.135769,,158.135769,158.135769,0,,,0,0,0,,
31069,158.135769,,158.135769,158.135769,0,,,0,0,0,,
31070,158.135769,,158.135769,158.135769,0,,,0,0,0,,
31071,158.135769,,158.135769,158.135769,0,,,0,0,0,,
31072,158.135769,,158.135769,158.135769,0,,,0,0,0,,
31073,158.135769,,158.135769,158.135769,0,,,0,0,0,,
31074,158.135769,,158.135769,158.135769,0,,,0,0,0,,
31075,158.135769,,158.135769,158.135769,0,,,0,0,0,,
31076,158.135769,,158.135769,158.135769,0,,,0,0,0,,
31077,158.135769,,158.135769,158.135769,0,,,0,0,0,,
31078,158.135769,,158.135769,158.135769,0,,,0,0,0,,
31079,158.135769,,158.135769,158.135769,0,,,0,0,0,,
31080,158.135769,,158.135769,158.135769,0,,,0,0,0,,
31081,158.135769,,158.135769,158.135769,0,,,0,0,0,,
31082,158.135769,,158.135769,158.135769,0,,,0,0,0,,
31083,158.135769,,158.135769,158.135769,0,,,-0.000384,0.000384,0.000768,,
31084,158.135769,,158.135769,158.136153,0.000384,,,0.000384,0,-0.000384,,
31085,158.136153,,158.136153,158.136153,0,,,0,0,0,,
31086,158.136153,,158.136153,158.136153,0,,,0,0,0,,
31087,158.136153,,158.136153,158.136153,0,,,0,0,0,,
31088,158.136153,,158.136153,158.136153,0,,,0,0,0,,
31089,158.136153,,158.136153,158.136153,0,,,0,0,0,,
31090,158.136153,,158.136153,158.136153,0,,,0,0,0,,
31091,158.136153,,158.136153,158.136153,0,,,0,0,0,,
31092,158.136153,,158.136153,158.136153,0,,,0,0,0,,
31093,158.136153,,158.136153,158.136153,0,,,0,0,0,,
31094,158.136153,,158.136153,158.136153,0,,,0,0,0,,
31095,158.136153,,158.136153,158.136153,0,,,0,0,0,,
31096,158.136153,,158.136153,158.136153,0,,,0,0,0,,
31097,158.136153,,158.136153,158.136153,0,,,0,0,0,,
31098,158.136153,,158.136153,158.136153,0,,,0,0,0,,
31099,158.136153,,158.136153,158.136153,0,,,0,0,0,,
31100,158.136153,,158.136153,158.136153,0,,,0,0,0,,
31101,158.136153,,158.136153,158.136153,0,,,0,0,0,,
31102,158.136153,,158.136153,158.136153,0,,,0,0,0,,
31103,158.136153,,158.136153,158.136153,0,,,0,0,0,,
31104,158.136153,,158.136153,158.136153,0,,,0,0,0,,
31105,158.136153,,158.136153,158.136153,0,,,0,0,0,,
31106,158.136153,,158.136153,158.136153,0,,,0,0,0,,
31107,158.136153,,158.136153,158.136153,0,,,0,0,0,,
31108,158.136153,,158.136153,158.136153,0,,,0,0,0,,
31109,158.136153,,158.136153,158.136153,0,,,0,0,0,,
31110,158.136153,,158.136153,158.136153,0,,,0,0,0,,
31111,158.136153,,158.136153,158.136153,0,,,0,0,0,,
31112,158.136153,,158.136153,158.136153,0,,,0,0,0,,
31113,158.136153,,158.136153,158.136153,0,,,-0.000479,0.000479,0.000958,,
31114,158.136153,,158.136153,158.136632,0.000479,,,-1.5E-05,0.000494,0.000509,,
31115,158.136632,,158.136632,158.137126,0.000494,,,0.000232,0.000262,3E-05,,
31116,158.137126,,158.137126,158.137388,0.000262,,,-0.000109,0.000371,0.00048,,
31117,158.137388,,158.137388,158.137759,0.000371,,,0.00017,0.000201,3.1E-05,,
31118,158.137759,,158.137759,158.13796,0.000201,,,-1E-05,0.000211,0.000221,,
31119,158.13796,,158.13796,158.138171,0.000211,,,-0.001056,0.001267,0.002323,,
31120,158.138171,,158.138171,158.139438,0.001267,,,0.001267,0,-0.001267,,
31121,158.139438,,158.139438,158.139438,0,,,0,0,0,,
